Temperature,L,R,A_M,Color,Spectral_Class,Type
3068,24,17,1612,Red,M,0
3042,5,1542,166,Red,M,0
2600,3,102,187,Red,M,0
2800,2,16,1665,Red,M,0
1939,138,103,2006,Red,M,0
2840,65,11,1698,Red,M,0
2637,73,127,1722,Red,M,0
2600,4,96,174,Red,M,0
2650,69,11,1745,Red,M,0
2700,18,13,1605,Red,M,0
3600,29,51,1069,Red,M,0
3129,122,3761,1179,Red,M,0
3134,4,196,1321,Red,M,0
3628,55,393,1048,Red,M,0
2650,6,14,11782,Red,M,0
3340,38,24,1307,Red,M,0
2799,18,16,1479,Red,M,0
3692,367,47,108,Red,M,0
3192,362,1967,1353,Red,M,0
3441,39,351,1118,Red,M,0
25000,56,84,1058,Blue White,B,0
7740,49,1234,1402,White,A,0
7220,17,11,1423,White,F,0
8500,5,1,145,White,A,0
16500,13,14,1189,Blue White,B,0
12990,85,984,1223,Yellowish White,F,0
8570,81,97,142,Blue white,A,0
7700,11,128,1447,Yellowish White,F,0
11790,15,11,1259,Yellowish White,F,0
7230,8,13,1408,Pale yellow orange,F,0
39000,204000,106,-47,Blue,O,1
30000,28840,63,-42,Blue-white,B,1
15276,1136,72,-197,Blue-white,B,1
9700,74,289,16,Whitish,B,1
5800,81,9,505,yellow-white,F,1
8052,87,18,242,Whitish,A,1
6757,143,112,241,yellow-white,F,1
6380,135,98,293,yellow-white,F,1
5936,1357,1106,446,yellow-white,F,1
5587,819,99,503,yellow-white,F,1
3826,200000,19,-693,Red,M,1
3365,340000,23,-62,Red,M,1
3270,150000,88,-602,Red,M,1
3200,195000,17,-722,Red,M,1
3008,280000,25,-6,Red,M,1
3600,320000,29,-66,Red,M,1
3575,123000,45,-678,Red,M,1
3574,200000,89,-524,Red,M,1
3625,184000,84,-674,Red,M,1
33750,220000,26,-61,Blue,B,1
3490,270000,1520,-94,Red,M,1
3750,283000,1260,-763,Red,M,1
3834,272000,1183,-92,Red,M,1
3749,550000,1648,-805,Orange,M,1
3650,310000,1324,-779,Red,M,1
3450,263000,1349,-1175,Red,M,1
3660,363000,1673,-1192,Red,M,1
3450,174000,1284,-1128,Red,M,1
3752,209000,955,-1124,Red,M,1
3535,195000,1546,-1136,Red,M,1
3341,56,57,1623,Red,M,0
3432,67,19,1694,Red,M,0
2983,24,94,1609,Red,M,0
2835,34,918,1696,Red,M,0
2935,14,116,1889,Red,M,0
3295,98,132,1713,Red,M,0
2945,32,93,1834,Red,M,0
2817,98,911,1645,Red,M,0
2774,36,118,1739,Red,M,0
2871,72,12,1943,Red,M,0
3345,21,273,123,Red,M,0
3607,22,38,1012,Red,M,0
3304,85,18,132,Red,M,0
3150,88,35,1194,Red,M,0
3550,4,291,1089,Red,M,0
3180,1,35,1176,Red,M,0
2890,34,24,1346,Red,M,0
3342,15,307,1187,Red,M,0
2621,6,98,1281,Red,M,0
3158,135,161,1398,Red,M,0
7100,29,12,1409,White-Yellow,F,0
10574,14,92,1202,White,F,0
8930,56,95,1378,white,A,0
17200,98,15,1245,Blue White,B,0
14100,67,89,1217,Blue White,B,0
9675,45,109,1398,Blue White,A,0
12010,78,92,1213,Blue White,B,0
10980,74,87,1119,Blue White,B,0
13720,18,892,1297,white,F,0
19860,11,131,1134,Blue,B,0
5300,59,91,549,yellow-white,F,1
4526,153,865,6506,yellowish,K,1
4077,85,795,6228,yellowish,K,1
4980,357,113,478,Yellowish,K,1
9030,45,263,145,Blue-white,A,1
11250,672,698,-23,Blue-white,A,1
5112,63,876,468,Orange-Red,K,1
7720,792,134,244,yellow-white,F,1
12098,689,701,2,Blue-white,A,1
36108,198000,102,-44,Blue,O,1
33300,240000,12,-65,Blue,B,1
40000,813000,14,-623,Blue,O,1
23000,127000,36,-576,Blue,O,1
17120,235000,83,-689,Blue,O,1
11096,112000,12,-591,Blue,O,1
14245,231000,42,-612,Blue,O,1
24630,363000,63,-583,Blue,O,1
12893,184000,36,-634,Blue,O,1
24345,142000,57,-624,Blue,O,1
33421,352000,67,-579,Blue,O,1
3459,100000,1289,-107,Red,M,1
3605,126000,1124,-1081,Red,M,1
3615,200000,1635,-1133,Red,M,1
3399,117000,1486,-1092,Red,M,1
3610,132000,1522,-1086,Red,M,1
3553,145000,1324,-1103,Red,M,1
4015,282000,1534,-1139,Red,K,1
3625,74000,876,-1025,Red,M,1
6850,229000,1467,-1007,Red,G,1
3780,200000,1324,-107,Red,M,1
3323,43,912,1716,Red,M,0
3531,93,976,1994,Red,M,0
3218,54,11,2002,Red,M,0
3146,15,932,1692,Red,M,0
3511,64,109,1712,Red,M,0
3225,76,121,1963,Red,M,0
2935,87,932,1688,Red,M,0
2861,19,899,1671,Red,M,0
2856,896,782,1956,Red,M,0
2731,437,856,1809,Red,M,0
3095,19,492,1087,Red,M,0
3607,23,38,1034,Red,M,0
3100,8,31,1117,Red,M,0
2989,87,34,1312,Red,M,0
3542,9,62,1423,Red,M,0
3243,23,73,1475,Red,M,0
3091,81,24,1143,Red,M,0
3598,11,56,1426,Red,M,0
3324,34,34,1223,Red,M,0
3541,13,256,1433,Red,M,0
13420,59,981,1367,Blue White,B,0
21020,15,112,1152,Blue,B,0
18290,13,934,1278,Blue,B,0
14520,82,972,1192,Blue White,B,0
11900,67,898,1138,Blue white,B,0
8924,28,879,1487,Blue white,A,0
12912,71,945,1283,Blue white,B,0
14732,11,892,1289,white,F,0
7723,14,878,1481,White,A,0
12984,88,996,1123,Blue White,B,0
29560,188000,602,-401,Blue-white,B,1
8945,38,2487,12,Blue-White,A,1
14060,1092,5745,-204,Blue-white,A,1
16390,1278,568,-332,Blue-white,B,1
25070,14500,592,-398,Blue-white,B,1
28700,16790,64,-409,Blue-white,B,1
26140,14520,549,-38,Blue-white,B,1
20120,4720,678,-34,Blue-white,B,1
13023,998,621,-138,Blue-white,A,1
37800,202900,686,-456,Blue,O,1
25390,223000,57,-592,Blue,O,1
11567,251000,36,-6245,Blue,O,1
12675,452000,83,-562,Blue,O,1
5752,245000,97,-663,Blue,O,1
8927,239000,35,-734,Blue,O,1
7282,131000,24,-722,Blue,O,1
19923,152000,73,-569,Blue,O,1
26373,198000,39,-583,Blue,O,1
17383,342900,30,-609,Blue,O,1
9373,424520,24,-599,Blue,O,1
3570,320000,1480,-758,Red,M,1
3500,138000,1420,-818,Red,M,1
4287,630000,1315,-92,Orange,K,1
26000,316000,1679,-91,Blue,B,1
3600,240000,1190,-789,Red,M,1
3614,145000,1553,-771,Red,M,1
18000,200000,1045,-83,Blue,O,1
11000,170000,1779,-99,Blue-white,B,1
12100,120000,7089,-784,Blue-white,B,1
24490,248490,11345,-824,Blue-white,B,1
2831,231,915,1621,Red,M,0
2914,631,116,1839,Red,M,0
3419,245,126,1756,Red,M,0
3218,452,987,1734,Red,M,0
3453,621,773,1708,Red,M,0
2889,352,973,1693,Red,M,0
2968,461,119,1745,Red,M,0
3484,551,998,1667,Red,M,0
2778,849,112,1945,Red,M,0
3523,957,129,1635,Red,M,0
3462,53,148,1147,Red,M,0
3257,24,46,1073,Red,M,0
2994,72,28,1345,Red,M,0
3212,16,378,12854,Red,M,0
3523,54,319,1243,Red,M,0
3598,27,67,13667,Red,M,0
3142,132,258,1412,Red,M,0
3496,125,336,1494,Red,M,0
3324,65,471,1278,Red,M,0
3463,27,675,14776,Red,M,0
16790,14,121,1287,Blue,B,0
15680,122,114,1192,Blue,B,0
14982,118,113,1223,Blue,B,0
13340,109,116,129,Blue,B,0
18340,134,124,1122,Blue,B,0
19920,156,142,1134,Blue,B,0
24020,159,127,1055,Blue,B,0
23092,132,104,1018,Blue,B,0
17920,111,106,1166,Blue,B,0
19360,125,998,1162,Blue,B,0
22350,12450,636,-367,Blue-white,B,1
10012,552,5856,13,Blue-white,A,1
13089,788,5992,-12,Blue-white,A,1
22012,6748,664,-255,Blue-white,B,1
34190,198200,639,-457,Blue,O,1
32460,173800,6237,-436,Blue,O,1
9320,29,191,1236,Blue-white,A,1
19400,10920,603,-308,Blue-white,B,1
17140,883,5653,-264,Blue-white,B,1
8250,925,193,-98,yellow-white,F,1
23678,244290,35,-627,Blue,O,1
12749,332520,76,-702,Blue,O,1
9383,342940,98,-698,Blue,O,1
23440,537430,81,-5975,Blue,O,1
16787,246730,62,-635,Blue,O,1
18734,224780,46,-745,Blue,O,1
9892,593900,80,-7262,Blue,O,1
10930,783930,25,-6224,Blue,O,1
23095,347820,86,-5905,Blue,O,1
21738,748890,92,-7346,Blue,O,1
24145,382993,1494,-884,Blue-white,B,1
38234,272830,1356,-929,Blue,O,1
32489,648430,19485,-1084,Blue,O,1
27739,849420,1252,-759,Blue-white,B,1
21904,748490,1130,-767,Blue-white,B,1
38940,374830,1356,-993,Blue,O,1
30839,834042,1194,-1063,Blue,O,1
8829,537493,1423,-1073,White,A,1
9235,404940,1112,-1123,White,A,1
37882,294903,1783,-78,Blue,O,1
